Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
24.1327 8 received one packet from 172.16.1.11
24.1335 6 received one packet from 172.16.1.9
24.1551 6 received one packet from 172.16.1.9
24.1605 8 received one packet from 172.16.1.11
24.1709 6 received one packet from 172.16.1.9
24.1781 8 received one packet from 172.16.1.11
24.185 6 received one packet from 172.16.1.9
24.202 6 received one packet from 172.16.1.9
24.2071 8 received one packet from 172.16.1.11
24.2109 6 received one packet from 172.16.1.9
24.2271 8 received one packet from 172.16.1.11
24.2379 6 received one packet from 172.16.1.9
24.2465 8 received one packet from 172.16.1.11
24.2695 6 received one packet from 172.16.1.9
24.279 8 received one packet from 172.16.1.11
24.2908 6 received one packet from 172.16.1.9
24.3015 8 received one packet from 172.16.1.11
24.3079 6 received one packet from 172.16.1.9
24.3263 8 received one packet from 172.16.1.11
24.335 6 received one packet from 172.16.1.9
24.3586 6 received one packet from 172.16.1.9
24.3668 8 received one packet from 172.16.1.11
24.3742 6 received one packet from 172.16.1.9
24.3835 8 received one packet from 172.16.1.11
24.404 6 received one packet from 172.16.1.9
24.407 8 received one packet from 172.16.1.11
24.4309 8 received one packet from 172.16.1.11
24.4382 6 received one packet from 172.16.1.9
24.4441 8 received one packet from 172.16.1.11
24.4573 6 received one packet from 172.16.1.9
24.4709 8 received one packet from 172.16.1.11
24.4749 6 received one packet from 172.16.1.9
24.4924 8 received one packet from 172.16.1.11
24.4945 6 received one packet from 172.16.1.9
24.5123 6 received one packet from 172.16.1.9
24.5205 8 received one packet from 172.16.1.11
24.5745 6 received one packet from 172.16.1.9
24.5808 6 received one packet from 172.16.1.9
24.6261 6 received one packet from 172.16.1.9
24.6803 6 received one packet from 172.16.1.9
24.7139 6 received one packet from 172.16.1.9
24.7364 6 received one packet from 172.16.1.9
24.7547 6 received one packet from 172.16.1.9
24.7701 6 received one packet from 172.16.1.9
24.8116 6 received one packet from 172.16.1.9
24.8595 6 received one packet from 172.16.1.9
24.8784 6 received one packet from 172.16.1.9
25.1045 6 received one packet from 172.16.1.9
25.1374 6 received one packet from 172.16.1.9
25.2329 6 received one packet from 172.16.1.9
25.6984 4 received one packet from 172.16.1.7
25.7161 4 received one packet from 172.16.1.7
25.8778 4 received one packet from 172.16.1.7
25.9097 4 received one packet from 172.16.1.7
26.1391 4 received one packet from 172.16.1.7
26.3633 4 received one packet from 172.16.1.7
28.696 6 received one packet from 172.16.1.9
28.712 6 received one packet from 172.16.1.9
28.7272 6 received one packet from 172.16.1.9
28.7503 6 received one packet from 172.16.1.9
28.7672 6 received one packet from 172.16.1.9
28.7804 6 received one packet from 172.16.1.9
28.8125 6 received one packet from 172.16.1.9
28.8437 6 received one packet from 172.16.1.9
28.859 6 received one packet from 172.16.1.9
28.8992 6 received one packet from 172.16.1.9
28.9557 6 received one packet from 172.16.1.9
29.0432 6 received one packet from 172.16.1.9
29.0858 6 received one packet from 172.16.1.9
29.1155 6 received one packet from 172.16.1.9
29.4887 6 received one packet from 172.16.1.9
29.5109 6 received one packet from 172.16.1.9
29.5401 6 received one packet from 172.16.1.9
29.8402 6 received one packet from 172.16.1.9
29.9599 6 received one packet from 172.16.1.9
30.154 6 received one packet from 172.16.1.9
30.3701 6 received one packet from 172.16.1.9
30.4455 6 received one packet from 172.16.1.9
30.5167 6 received one packet from 172.16.1.9
31.4504 8 received one packet from 172.16.1.11
31.6296 8 received one packet from 172.16.1.11
32.3514 8 received one packet from 172.16.1.11
32.48 8 received one packet from 172.16.1.11
32.5808 8 received one packet from 172.16.1.11
32.8096 8 received one packet from 172.16.1.11
32.9051 8 received one packet from 172.16.1.11
